date;title;price;km;year;url;province
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV 5p.;23990;52000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-5p-gasolina-2019-en-pontevedra-57101697-covo.aspx;Pontevedra
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21900;42000;2020;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-alicante-57153652-covo.aspx;Alicante
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21900;61294;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57277852-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;25600;9800;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-sevilla-57292212-covo.aspx;Sevilla
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;27990;22000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57301657-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24900;37000;2020;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57132736-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24000;83000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-56846081-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21300;78000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-56626938-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21490;62000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-a-coruna-55053209-covo.aspx;A Coruña
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24900;61000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-56829819-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23500;28000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-baleares-56916004-covo.aspx;Baleares
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23000;63000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-navarra-57024616-covo.aspx;Navarra
